// Generated by run_all.py at 2024-01-23 09:22:27.064268


Test      DUT Time    Model Time
------  ----------  ------------
test0      865.857       50.1524
test1      543.968     1307.23
test2      571.352       54.4605
test3      622.919      212.347
test4      650.59       107.887
test5      492.787      299.825
test6      459.019       64.8765
test7      463.188      128.486
test9      358.047       20.4009
test10     373.414       33.7829
test11     344.063       20.5068
test12     475.128       91.3092
test13     585.714       81.4357
test14     577.733       46.8282
test15     491.561       22.8306
